Date,vwretx,ewretx
2010-04-16,-0.016122,-0.010972
2010-04-19,0.002253,-0.002906
2010-04-20,0.009766,0.011934
2010-04-21,-0.000562,0.002809
2010-04-22,0.00354,0.007493
2010-04-23,0.007443,0.010043
2010-04-26,-0.003237,0.002673
2010-04-27,-0.023853,-0.018856
2010-04-28,0.005038,0.001416
2010-04-29,0.013546,0.013094
2010-04-30,-0.016855,-0.015082
2010-05-03,0.012821,0.011279
2010-05-04,-0.025378,-0.023975
2010-05-05,-0.009486,-0.013733
2010-05-06,-0.032662,-0.033759
2010-05-07,-0.015865,-0.017016
2010-05-10,0.044865,0.042748
2010-05-11,-0.001091,0.004126
2010-05-12,0.01592,0.018783
2010-05-13,-0.010893,-0.004924
2010-05-14,-0.019435,-0.01861
2010-05-17,-0.00071,-0.003188
2010-05-18,-0.013785,-0.012958
2010-05-19,-0.007246,-0.013456
2010-05-20,-0.04044,-0.039115
2010-05-21,0.015267,0.011561
2010-05-24,-0.012134,-0.006592
2010-05-25,-0.000173,-0.006491
2010-05-26,-0.003071,0.004472
2010-05-27,0.034826,0.033581
2010-05-28,-0.011837,-0.006673
2010-06-01,-0.018575,-0.020809
2010-06-02,0.026427,0.020234
2010-06-03,0.004745,0.005493
2010-06-04,-0.035892,-0.032278
2010-06-07,-0.014072,-0.018234
2010-06-08,0.009114,-0.0013
2010-06-09,-0.003884,-0.000344
2010-06-10,0.029501,0.024885
2010-06-11,0.005844,0.009022
2010-06-14,-0.000022,0.004134
2010-06-15,0.023819,0.019335
2010-06-16,-0.001246,-0.002044
2010-06-17,0.000798,-0.000065
2010-06-18,0.001662,0.002824
2010-06-21,-0.004343,-0.006434
2010-06-22,-0.016253,-0.013948
2010-06-23,-0.003033,-0.002017
2010-06-24,-0.016315,-0.012466
2010-06-25,0.006034,0.010236
2010-06-28,-0.003341,-0.004938
2010-06-29,-0.032922,-0.031228
2010-06-30,-0.009029,-0.00558
2010-07-01,-0.004076,-0.007698
2010-07-02,-0.004793,-0.00443
2010-07-06,0.003314,-0.00643
2010-07-07,0.030565,0.021879
2010-07-08,0.009506,0.009951
2010-07-09,0.008913,0.011683
2010-07-12,-0.001372,-0.005537
2010-07-13,0.017115,0.021313
2010-07-14,-0.000663,-0.001163
2010-07-15,0.000411,-0.003647
2010-07-16,-0.028562,-0.024116
2010-07-19,0.004982,0.003008
2010-07-20,0.012261,0.011476
2010-07-21,-0.012944,-0.009925
2010-07-22,0.023506,0.02328
2010-07-23,0.009623,0.013511
2010-07-26,0.01161,0.013837
2010-07-27,-0.002542,-0.002176
2010-07-28,-0.007594,-0.007925
2010-07-29,-0.002745,0.00038
2010-07-30,0.001497,0.003346
2010-08-02,0.020521,0.013546
2010-08-03,-0.00519,-0.004615
2010-08-04,0.00718,0.007186
2010-08-05,-0.002561,-0.004177
2010-08-06,-0.003638,-0.002714
2010-08-09,0.005839,0.006791
2010-08-10,-0.008042,-0.011659
2010-08-11,-0.029641,-0.028716
2010-08-12,-0.004793,-0.003204
2010-08-13,-0.003921,-0.004261
2010-08-16,0.001411,0.00359
2010-08-17,0.013672,0.012292
2010-08-18,0.002202,0.001772
2010-08-19,-0.016723,-0.016616
2010-08-20,-0.003347,-0.001696
2010-08-23,-0.004894,-0.008745
2010-08-24,-0.014456,-0.011869
2010-08-25,0.004495,0.005647
2010-08-26,-0.006642,-0.00498
2010-08-27,0.018222,0.018479
2010-08-30,-0.01438,-0.01384
2010-08-31,0.000085,0.000346
2010-09-01,0.028989,0.024799
2010-09-02,0.009477,0.008255
2010-09-03,0.012954,0.01172
2010-09-07,-0.011925,-0.012451
2010-09-08,0.006132,0.005972
2010-09-09,0.003615,0.00227
2010-09-10,0.004456,0.004066
2010-09-13,0.012516,0.015247
2010-09-14,-0.00013,-0.000812
2010-09-15,0.002919,0.001318
2010-09-16,-0.000858,-0.00275
2010-09-17,0.00108,0.003086
2010-09-20,0.015156,0.017142
2010-09-21,-0.00312,-0.003086
2010-09-22,-0.005124,-0.005351
2010-09-23,-0.00814,-0.006175
2010-09-24,0.021146,0.020025
2010-09-27,-0.004466,-0.001507
2010-09-28,0.005588,0.007196
2010-09-29,-0.001174,0.001957
2010-09-30,-0.002021,0.001154
2010-10-01,0.004825,0.004375
2010-10-04,-0.008639,-0.009108
2010-10-05,0.02056,0.018543
2010-10-06,-0.000668,-0.000572
2010-10-07,-0.002136,-0.001676
2010-10-08,0.007617,0.009938
2010-10-11,0.000566,0.001864
2010-10-12,0.003644,0.003754
2010-10-13,0.008646,0.010883
2010-10-14,-0.003674,-0.001737
2010-10-15,0.0007,-0.000613
2010-10-18,0.006276,0.005687
2010-10-19,-0.017214,-0.016775
2010-10-20,0.011159,0.010113
2010-10-21,0.000227,-0.003027
2010-10-22,0.002612,0.005048
2010-10-25,0.003717,0.005155
2010-10-26,-0.000427,0.00052
2010-10-27,-0.00348,-0.004244
2010-10-28,0.00103,-0.000903
2010-10-29,0.001643,0.00353
2010-11-01,0.000117,-0.003524
2010-11-02,0.00903,0.01165
2010-11-03,0.003283,0.002206
2010-11-04,0.01976,0.017195
2010-11-05,0.003973,0.004475
2010-11-08,-0.001016,0.002021
2010-11-09,-0.008717,-0.009379
2010-11-10,0.005183,0.005575
2010-11-11,-0.003605,-0.004355
2010-11-12,-0.013464,-0.012589
2010-11-15,-0.00138,-0.00132
2010-11-16,-0.017062,-0.016745
2010-11-17,0.001487,0.002721
2010-11-18,0.015529,0.012444
2010-11-19,0.003617,0.003797
2010-11-22,-0.000321,0.000991
2010-11-23,-0.014158,-0.010275
2010-11-24,0.015645,0.014256
2010-11-26,-0.007053,-0.002615
2010-11-29,-0.001145,-0.000769
2010-11-30,-0.005825,-0.005365
2010-12-01,0.020659,0.013127
2010-12-02,0.012204,0.008892
2010-12-03,0.003865,0.005076
2010-12-06,-0.000022,0.002941
2010-12-07,0.000153,0.000134
2010-12-08,0.001312,-0.001084
2010-12-09,0.003501,0.003386
2010-12-10,0.006395,0.006763
2010-12-13,-0.000081,-0.001961
2010-12-14,0.000228,-0.001551
2010-12-15,-0.005304,-0.00432
2010-12-16,0.005693,0.007732
2010-12-17,0.001495,0.003401
2010-12-20,0.001792,0.000637
2010-12-21,0.007002,0.008323
2010-12-22,0.002923,0.0031
2010-12-23,-0.0013,0.000295
2010-12-27,0.000622,0.003367
2010-12-28,0.000725,-0.000357
2010-12-29,0.002491,0.003642
2010-12-30,-0.000833,0.001282
2010-12-31,-0.000264,0.00086
2011-01-03,0.011181,0.012516
2011-01-04,-0.003939,-0.006774
2011-01-05,0.005299,0.007917
2011-01-06,-0.002757,-0.001248
2011-01-07,-0.001951,-0.00285
2011-01-10,-0.000711,0.002271
2011-01-11,0.005042,0.005921
2011-01-12,0.008903,0.007994
2011-01-13,-0.001893,-0.000523
2011-01-14,0.006607,0.00472
2011-01-18,0.002156,0.002508
2011-01-19,-0.012342,-0.016145
2011-01-20,-0.003844,-0.007638
2011-01-21,0.001244,-0.000159
2011-01-24,0.006249,0.006038
2011-01-25,-0.000447,-0.001084
2011-01-26,0.007301,0.011678
2011-01-27,0.002029,0.001559
2011-01-28,-0.017258,-0.017827
2011-01-31,0.007614,0.005202
